Date,Open,High,Low,Close,Adj Close,Volume
1972-01-03,104.300003,104.300003,104.300003,104.300003,104.300003,0
1972-01-04,104.599998,104.599998,104.599998,104.599998,104.599998,0
1972-01-05,105.599998,105.599998,105.599998,105.599998,105.599998,0
1972-01-06,110.800003,110.800003,110.800003,110.800003,110.800003,0
1972-01-07,110.900002,110.900002,110.900002,110.900002,110.900002,0
1972-01-09,null,null,null,null,null,null
1972-01-10,110.500000,110.500000,110.500000,110.500000,110.500000,0
1972-01-11,111.000000,111.000000,111.000000,111.000000,111.000000,0
1972-01-12,111.199997,111.199997,111.199997,111.199997,111.199997,0
1972-01-13,110.699997,110.699997,110.699997,110.699997,110.699997,0
1972-01-14,111.199997,111.199997,111.199997,111.199997,111.199997,0
1972-01-16,null,null,null,null,null,null
1972-01-17,111.599998,111.599998,111.599998,111.599998,111.599998,0
1972-01-18,111.900002,111.900002,111.900002,111.900002,111.900002,0
1972-01-19,111.900002,111.900002,111.900002,111.900002,111.900002,0
1972-01-20,112.000000,112.000000,112.000000,112.000000,112.000000,0
1972-01-21,111.900002,111.900002,111.900002,111.900002,111.900002,0
1972-01-23,null,null,null,null,null,null
1972-01-24,111.000000,111.000000,111.000000,111.000000,111.000000,0
1972-01-25,111.000000,111.000000,111.000000,111.000000,111.000000,0
1972-01-26,111.000000,111.000000,111.000000,111.000000,111.000000,0
1972-01-27,112.000000,112.000000,112.000000,112.000000,112.000000,0
1972-01-28,112.699997,112.699997,112.699997,112.699997,112.699997,0
1972-01-30,null,null,null,null,null,null
1972-01-31,112.800003,112.800003,112.800003,112.800003,112.800003,0
1972-02-01,112.800003,112.800003,112.800003,112.800003,112.800003,0
1972-02-02,113.400002,113.400002,113.400002,113.400002,113.400002,0
1972-02-03,113.400002,113.400002,113.400002,113.400002,113.400002,0
1972-02-04,113.400002,113.400002,113.400002,113.400002,113.400002,0
1972-02-06,null,null,null,null,null,null
1972-02-07,113.199997,113.199997,113.199997,113.199997,113.199997,0
1972-02-08,113.400002,113.400002,113.400002,113.400002,113.400002,0
1972-02-09,114.000000,114.000000,114.000000,114.000000,114.000000,0
1972-02-10,114.400002,114.400002,114.400002,114.400002,114.400002,0
1972-02-11,114.000000,114.000000,114.000000,114.000000,114.000000,0
1972-02-13,null,null,null,null,null,null
1972-02-14,113.500000,113.500000,113.500000,113.500000,113.500000,0
1972-02-15,114.000000,114.000000,114.000000,114.000000,114.000000,0
1972-02-16,114.500000,114.500000,114.500000,114.500000,114.500000,0
1972-02-17,114.800003,114.800003,114.800003,114.800003,114.800003,0
1972-02-18,114.800003,114.800003,114.800003,114.800003,114.800003,0
1972-02-20,null,null,null,null,null,null
1972-02-21,114.900002,114.900002,114.900002,114.900002,114.900002,0
1972-02-22,115.000000,115.000000,115.000000,115.000000,115.000000,0
1972-02-23,115.400002,115.400002,115.400002,115.400002,115.400002,0
1972-02-24,115.800003,115.800003,115.800003,115.800003,115.800003,0
1972-02-25,116.500000,116.500000,116.500000,116.500000,116.500000,0
1972-02-27,null,null,null,null,null,null
1972-02-28,116.599998,116.599998,116.599998,116.599998,116.599998,0
1972-02-29,116.900002,116.900002,116.900002,116.900002,116.900002,0
1972-03-01,117.400002,117.400002,117.400002,117.400002,117.400002,0
1972-03-02,117.400002,117.400002,117.400002,117.400002,117.400002,0
1972-03-03,117.900002,117.900002,117.900002,117.900002,117.900002,0
1972-03-05,null,null,null,null,null,null
1972-03-06,118.400002,118.400002,118.400002,118.400002,118.400002,0
1972-03-07,118.599998,118.599998,118.599998,118.599998,118.599998,0
1972-03-08,118.699997,118.699997,118.699997,118.699997,118.699997,0
1972-03-09,118.900002,118.900002,118.900002,118.900002,118.900002,0
1972-03-10,118.400002,118.400002,118.400002,118.400002,118.400002,0
1972-03-12,null,null,null,null,null,null
1972-03-13,117.599998,117.599998,117.599998,117.599998,117.599998,0
1972-03-14,117.900002,117.900002,117.900002,117.900002,117.900002,0
1972-03-15,118.099998,118.099998,118.099998,118.099998,118.099998,0
1972-03-16,118.000000,118.000000,118.000000,118.000000,118.000000,0
1972-03-17,118.300003,118.300003,118.300003,118.300003,118.300003,0
1972-03-19,null,null,null,null,null,null
1972-03-20,118.000000,118.000000,118.000000,118.000000,118.000000,0
1972-03-21,117.500000,117.500000,117.500000,117.500000,117.500000,0
1972-03-22,117.800003,117.800003,117.800003,117.800003,117.800003,0
1972-03-23,118.500000,118.500000,118.500000,118.500000,118.500000,0
1972-03-24,118.199997,118.199997,118.199997,118.199997,118.199997,0
1972-03-26,null,null,null,null,null,null
1972-03-27,118.199997,118.199997,118.199997,118.199997,118.199997,0
1972-03-28,118.099998,118.099998,118.099998,118.099998,118.099998,0
1972-03-29,117.800003,117.800003,117.800003,117.800003,117.800003,0
1972-03-30,118.300003,118.300003,118.300003,118.300003,118.300003,0
1972-03-31,118.300003,118.300003,118.300003,118.300003,118.300003,0
1972-04-02,null,null,null,null,null,null
1972-04-03,118.699997,118.699997,118.699997,118.699997,118.699997,0
1972-04-04,119.199997,119.199997,119.199997,119.199997,119.199997,0
1972-04-05,120.000000,120.000000,120.000000,120.000000,120.000000,0
1972-04-06,120.400002,120.400002,120.400002,120.400002,120.400002,0
1972-04-07,120.699997,120.699997,120.699997,120.699997,120.699997,0
1972-04-09,null,null,null,null,null,null
1972-04-10,120.599998,120.599998,120.599998,120.599998,120.599998,0
1972-04-11,120.699997,120.699997,120.699997,120.699997,120.699997,0
1972-04-12,121.500000,121.500000,121.500000,121.500000,121.500000,0
1972-04-13,121.500000,121.500000,121.500000,121.500000,121.500000,0
1972-04-14,121.300003,121.300003,121.300003,121.300003,121.300003,0
1972-04-16,null,null,null,null,null,null
1972-04-17,120.900002,120.900002,120.900002,120.900002,120.900002,0
1972-04-18,121.099998,121.099998,121.099998,121.099998,121.099998,0
1972-04-19,120.699997,120.699997,120.699997,120.699997,120.699997,0
1972-04-20,120.699997,120.699997,120.699997,120.699997,120.699997,0
1972-04-21,120.599998,120.599998,120.599998,120.599998,120.599998,0
1972-04-23,null,null,null,null,null,null
1972-04-24,119.900002,119.900002,119.900002,119.900002,119.900002,0
1972-04-25,119.199997,119.199997,119.199997,119.199997,119.199997,0
1972-04-26,119.000000,119.000000,119.000000,119.000000,119.000000,0
1972-04-27,119.199997,119.199997,119.199997,119.199997,119.199997,0
1972-04-28,119.699997,119.699997,119.699997,119.699997,119.699997,0
1972-04-30,null,null,null,null,null,null
1972-05-01,119.699997,119.699997,119.699997,119.699997,119.699997,0
1972-05-02,118.599998,118.599998,118.599998,118.599998,118.599998,0
1972-05-03,118.599998,118.599998,118.599998,118.599998,118.599998,0
1972-05-04,118.699997,118.699997,118.699997,118.699997,118.699997,0
1972-05-05,119.000000,119.000000,119.000000,119.000000,119.000000,0
1972-05-07,null,null,null,null,null,null
1972-05-08,118.500000,118.500000,118.500000,118.500000,118.500000,0
1972-05-09,117.199997,117.199997,117.199997,117.199997,117.199997,0
1972-05-10,117.699997,117.699997,117.699997,117.699997,117.699997,0
1972-05-11,118.300003,118.300003,118.300003,118.300003,118.300003,0
1972-05-12,118.900002,118.900002,118.900002,118.900002,118.900002,0
1972-05-14,null,null,null,null,null,null
1972-05-15,119.500000,119.500000,119.500000,119.500000,119.500000,0
1972-05-16,119.500000,119.500000,119.500000,119.500000,119.500000,0
1972-05-17,119.699997,119.699997,119.699997,119.699997,119.699997,0
1972-05-18,120.599998,120.599998,120.599998,120.599998,120.599998,0
1972-05-19,121.599998,121.599998,121.599998,121.599998,121.599998,0
1972-05-21,null,null,null,null,null,null
1972-05-22,121.900002,121.900002,121.900002,121.900002,121.900002,0
1972-05-23,122.000000,122.000000,122.000000,122.000000,122.000000,0
1972-05-24,122.400002,122.400002,122.400002,122.400002,122.400002,0
1972-05-25,122.699997,122.699997,122.699997,122.699997,122.699997,0
1972-05-26,122.800003,122.800003,122.800003,122.800003,122.800003,0
1972-05-28,null,null,null,null,null,null
1972-05-29,122.900002,122.900002,122.900002,122.900002,122.900002,0
1972-05-30,122.500000,122.500000,122.500000,122.500000,122.500000,0
1972-05-31,121.900002,121.900002,121.900002,121.900002,121.900002,0
1972-06-01,121.900002,121.900002,121.900002,121.900002,121.900002,0
1972-06-02,122.099998,122.099998,122.099998,122.099998,122.099998,0
1972-06-04,null,null,null,null,null,null
1972-06-05,121.500000,121.500000,121.500000,121.500000,121.500000,0
1972-06-06,121.000000,121.000000,121.000000,121.000000,121.000000,0
1972-06-07,120.400002,120.400002,120.400002,120.400002,120.400002,0
1972-06-08,120.099998,120.099998,120.099998,120.099998,120.099998,0
1972-06-09,119.699997,119.699997,119.699997,119.699997,119.699997,0
1972-06-11,null,null,null,null,null,null
1972-06-12,119.800003,119.800003,119.800003,119.800003,119.800003,0
1972-06-13,120.099998,120.099998,120.099998,120.099998,120.099998,0
